Date,Open,High,Low,Close,Adj Close,Volume,High Shifted,Low Shifted,Close Shifted,Upper BBand,Middle BBand,Lower BBand,RSI,Macd,Macd Signal,Macd Hist,Momentum,Signal
2001-03-01,124.05000305175781,124.5999984741211,121.75,124.5999984741211,84.14540100097656,14672000,126.83999633789062,123.2699966430664,123.94999694824219,139.65040888102484,131.23899879455567,122.8275887080865,34.212499079035105,-2.068384346028097,-1.0324344296234937,-1.035949916404603,-7.8899993896484375,0
2001-03-02,122.5,125.6500015258789,122.30000305175781,123.61000061035156,83.47683715820312,12564300,124.5999984741211,121.75,124.5999984741211,139.06432992048286,130.61799850463868,122.17166708879449,36.3609845507747,-2.2041134697319364,-1.2667702376451824,-0.9373432320867541,-8.750007629394531,0
2001-03-05,124.1500015258789,124.77999877929688,123.80999755859375,124.73999786376953,84.2399673461914,5293200,125.6500015258789,122.30000305175781,123.61000061035156,138.1735917228399,129.9019989013672,121.6304060798945,34.512281059293635,-2.3643100376099255,-1.486278197638131,-0.8780318399717946,-8.649993896484375,1
2001-03-06,126.3499984741211,127.75,125.48999786376953,126.08000183105469,85.1448974609375,6917000,124.77999877929688,123.80999755859375,124.73999786376953,137.64147234659075,129.39899864196778,121.1565249373448,38.364328047295636,-2.3727342339640813,-1.663569404903321,-0.7091648290607604,-7.319999694824219,1
2001-03-07,126.9000015258789,127.04000091552734,125.76000213623047,126.9800033569336,85.75270080566406,6371700,127.75,125.48999786376953,126.08000183105469,136.7256510703376,128.91349906921386,121.10134706809012,42.67079401150973,-2.2453997780596637,-1.7799354795345894,-0.4654642985250743,-7.2599945068359375,1
2001-03-08,126.5999984741211,127.23999786376953,126.13999938964844,127.12000274658203,85.84723663330078,6055000,127.04000091552734,125.76000213623047,126.9800033569336,135.75117454857872,128.4929992675781,121.23482398657752,45.42867322712359,-2.0482527204797236,-1.8335989277236162,-0.2146537927561074,-3.4199905395507812,0
2001-03-09,126.0999984741211,126.0999984741211,123.11000061035156,123.36000061035156,83.30802154541016,10020300,127.23999786376953,126.13999938964844,127.12000274658203,134.8081166664333,128.1144992828369,121.42088189924051,45.86493340321794,-1.859282821258759,-1.8387357064306449,-0.02054711482811422,-1.2699966430664062,0
2001-03-12,122.33999633789062,122.5,117.75,118.08000183105469,79.74227905273438,13972900,126.0999984741211,123.11000061035156,123.36000061035156,134.2114819087256,127.62649955749512,121.04151720626464,37.25157804219425,-1.989984263548351,-1.868985417854186,-0.12099884569416486,-2.2600021362304688,0
2001-03-13,119.4000015258789,120.44000244140625,117.52999877929688,120.0199966430664,81.0523910522461,12888000,122.5,117.75,118.08000183105469,134.43149861917053,126.93849983215333,119.44550104513614,29.012078177912628,-2.4909042789208797,-1.9933691900675248,-0.49753508885335496,-7.7299957275390625,0
2001-03-14,117.05000305175781,119.29000091552734,115.75,117.6500015258789,79.4518814086914,19883400,120.44000244140625,117.52999877929688,120.0199966430664,133.7365686060481,126.27199935913086,118.80743011221361,34.72495409883816,-2.7002191859734097,-2.1347391892487018,-0.565479996724708,-4.94000244140625,0
2001-03-15,118.44999694824219,118.86000061035156,117.36000061035156,117.68000030517578,79.47216033935547,10370300,119.29000091552734,115.75,117.6500015258789,133.36977073518943,125.541499710083,117.71322868497656,31.40037458566981,-3.0225000577021888,-2.312291362939399,-0.7102086947627897,-9.970001220703125,1
2001-03-16,117.12999725341797,117.4000015258789,114.80999755859375,115.01000213623047,77.87818908691406,58514600,118.86000061035156,117.36000061035156,117.68000030517578,132.76456858111771,124.8224998474121,116.88043111370648,31.489785633682082,-3.2381618060619957,-2.4974654515639183,-0.7406963544980774,-8.760002136230469,0
2001-03-19,115.76000213623047,117.69000244140625,114.81999969482422,117.3499984741211,79.46267700195312,10067800,117.4000015258789,114.80999755859375,115.01000213623047,131.93495037194248,123.9060001373291,115.87704990271573,27.99269980034889,-3.5832167414043425,-2.714615709532003,-0.8686010318723394,-8.939994812011719,0
2001-03-20,117.9000015258789,118.45999908447266,114.11000061035156,114.19999694824219,77.3296890258789,15083900,117.69000244140625,114.81999969482422,117.3499984741211,131.18589336186233,123.25350036621094,115.32110737055955,34.82413978179488,-3.6260581738618782,-2.896904202397978,-0.7291539714639002,-7.25,1
